,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 662, 50 - Cartao de Credito 452, 00 - Pagamento Instantâneo (PIX) 290, 00",,,,,,,,,
09/07/2024,1 / 65,De 85899 Até 85937,"1046,5",0,0,"1038,5",8,"1054,5","1038,5",0
,"Dinheiro 59, 50 - Cartao de Debito 629, 00 - Cartao de Credito 332, 00 - Pagamento Instantâneo (PIX) 18, 00",,,,,,,,,
10/07/2024,1 / 65,De 85938 Até 85984,1621,0,0,1551,70,"1688,5",1551,0
,"Dinheiro 23, 00 - Cartao de Debito 589, 00 - Cartao de Credito 519, 00 - Pagamento Instantâneo (PIX) 420, 00",,,,,,,,,
11/07/2024,1 / 65,De 85985 Até 86023,"1826,6",0,0,"1789,6",37,"1850,6","1789,6",0
,"Cartao de Debito 1128, 10 - Cartao de Credito 533, 50 - Pagamento Instantâneo (PIX) 128, 00",,,,,,,,,
12/07/2024,1 / 65,De 86024 Até 86065,"1518,1",0,0,"1494,1",24,"1540,6","1494,1",0
,"Cartao de Debito 902, 70 - Cartao de Credito 169, 40 - Pagamento Instantâneo (PIX) 422, 00",,,,,,,,,
13/07/2024,1 / 65,De 86066 Até 86110,"1517,4",0,0,"1491,4",26,"1541,4","1491,4",0
,"Cartao de Debito 644, 40 - Cartao de Credito 743, 00 - Pagamento Instantâneo (PIX) 104, 00",,,,,,,,,
15/07/2024,1 / 65,De 86111 Até 86145,"1325,1",0,0,"1305,1",20,"1345,1","1305,1",0
,"Cartao de Debito 405, 00 - Cartao de Credito 692, 60 - Pagamento Instantâneo (PIX) 207, 50",,,,,,,,,
16/07/2024,1 / 65,De 86146 Até 86190,"1465,1",0,0,"1449,1",16,"1480,1","1449,1",0
,"Dinheiro 56, 40 - Cartao de Debito 807, 50 - Cartao de Credito 453, 20 - Pagamento Instantâneo (PIX) 132, 00",,,,,,,,,
17/07/2024,1 / 65,De 86191 Até 86229,"1146,6",0,0,"1007,6",139,"1285,6","1007,6",0
,"Cartao de Debito 484, 00 - Cartao de Credito 372, 60 - Pagamento Instantâneo (PIX) 151, 00",,,,,,,,,
18/07/2024,1 / 65,De 86230 Até 86276,"1380,8",0,0,"1319,3","61,5","1438,3","1319,3",0
,"Dinheiro 32, 00 - Cartao de Debito 650, 00 - Cartao de Credito 348, 00 - Pagamento Instantâneo (PIX) 289, 30",,,,,,,,,
19/07/2024,1 / 65,De 86277 Até 86313,"1087,5",0,0,"1087,5",0,"1086,5","1087,5",0
,"Cartao de Debito 400, 00 - Cartao de Credito 666, 50 - Pagamento Instantâneo (PIX) 21, 00",,,,,,,,,
20/07/2024,1 / 65,De 86314 Até 86357,"1361,8",0,0,"1348,8",13,"1366,8","1348,8",0
,"Dinheiro 70, 50 - Cartao de Debito 681, 80 - Cartao de Credito 476, 50 - Pagamento Instantâneo (PIX) 120, 00",,,,,,,,,
