,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 1108, 30 - Cartao de Credito 534, 00 - Pagamento Instantâneo (PIX) 170, 00",,,,,,,,,
05/08/2024,1 / 65,De 86832 Até 86871,"1171,5",0,0,"1145,5",26,"1183,5","1145,5",0
,"Dinheiro 24, 00 - Cartao de Debito 584, 50 - Cartao de Credito 354, 00 - Pagamento Instantâneo (PIX) 183, 00",,,,,,,,,
06/08/2024,1 / 65,De 86872 Até 86909,"1338,9",0,0,"1325,9",13,"1339,9","1325,9",0
,"Cartao de Debito 546, 20 - Cartao de Credito 382, 00 - Pagamento Instantâneo (PIX) 397, 70",,,,,,,,,
07/08/2024,1 / 65,De 86910 Até 86966,"2086,5",0,0,"2060,5",26,"2099,5","2060,5",0
,"Cartao de Debito 1345, 50 - Cartao de Credito 486, 00 - Pagamento Instantâneo (PIX) 229, 00",,,,,,,,,
08/08/2024,1 / 65,De 86967 Até 87015,"1652,5",0,0,"1604,5",48,"1691,5","1604,5",0
,"Dinheiro 46, 50 - Cartao de Debito 511, 00 - Cartao de Credito 762, 00 - Pagamento Instantâneo (PIX) 285, 00",,,,,,,,,
09/08/2024,1 / 65,De 87016 Até 87054,"1489,4",0,0,"1438,4",51,"1537,4","1438,4",0
,"Cartao de Debito 712, 00 - Cartao de Credito 437, 40 - Pagamento Instantâneo (PIX) 289, 00",,,,,,,,,
10/08/2024,1 / 65,De 87056 Até 87082,"808,9",0,0,"793,9",15,"822,9","793,9",0
,"Cartao de Debito 684, 40 - Cartao de Credito 86, 50 - Pagamento Instantâneo (PIX) 23, 00",,,,,,,,,
12/08/2024,1 / 65,De 87083 Até 87115,"1039,6",0,0,"1038,6",1,"1040,6","1038,6",0
,"Cartao de Debito 405, 50 - Cartao de Credito 502, 10 - Pagamento Instantâneo (PIX) 131, 00",,,,,,,,,
13/08/2024,1 / 65,De 87116 Até 87153,"869,3",0,0,"868,3",1,"870,3","868,3",0
,"Dinheiro 24, 00 - Cartao de Debito 358, 50 - Cartao de Credito 192, 00 - Pagamento Instantâneo (PIX) 293, 80",,,,,,,,,
14/08/2024,1 / 65,De 87154 Até 87198,"1236,6",0,0,"1236,6",0,"1236,6","1236,6",0
,"Cartao de Debito 710, 10 - Cartao de Credito 411, 50 - Pagamento Instantâneo (PIX) 115, 00",,,,,,,,,
15/08/2024,1 / 65,De 87199 Até 87241,1284,0,0,1258,26,1310,1258,0
,"Dinheiro 71, 00 - Cartao de Debito 926, 00 - Cartao de Credito 125, 00 - Pagamento Instantâneo (PIX) 136, 00",,,,,,,,,
16/08/2024,1 / 65,De 87242 Até 87281,"1364,7",0,0,"1362,2","2,5","1365,2","1362,2",0
,"Cartao de Debito 1004, 40 - Cartao de Credito 207, 80 - Pagamento Instantâneo (PIX) 150, 00",,,,,,,,,
