,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 457, 30 - Cartao de Credito 63, 50",,,,,,,,,
15/05/2024,1 / 65,De 84194 Até 84219,708,0,0,693,15,719,693,0
,"Cartao de Debito 424, 50 - Cartao de Credito 198, 00 - Pagamento Instantâneo (PIX) 70, 50",,,,,,,,,
16/05/2024,1 / 65,De 84220 Até 84252,"1119,1",0,0,"1111,3","7,8","1121,9","1111,3",0
,"Cartao de Debito 806, 80 - Cartao de Credito 304, 50",,,,,,,,,
17/05/2024,1 / 65,De 84253 Até 84291,"1002,5",0,0,"974,5",28,"1030,5","974,5",0
,"Cartao de Debito 545, 50 - Cartao de Credito 429, 00",,,,,,,,,
18/05/2024,1 / 65,De 84292 Até 84342,"1681,8",0,0,"1670,8",11,"1691,8","1670,8",0
,"Dinheiro 12, 00 - Cartao de Debito 1089, 40 - Cartao de Credito 569, 40",,,,,,,,,
20/05/2024,1 / 65,De 84343 Até 84380,"881,6",0,0,"881,6",0,"881,6","881,6",0
,"Dinheiro 23, 00 - Cartao de Debito 517, 10 - Cartao de Credito 341, 50",,,,,,,,,
21/05/2024,1 / 65,De 84381 Até 84407,616,0,0,613,3,619,613,0
,"Dinheiro 22, 00 - Cartao de Debito 306, 50 - Cartao de Credito 284, 50",,,,,,,,,
22/05/2024,1 / 65,De 84408 Até 84441,1410,0,0,1383,27,1434,1383,0
,"Cartao de Debito 814, 00 - Cartao de Credito 569, 00",,,,,,,,,
23/05/2024,1 / 65,De 84442 Até 84485,1430,0,0,1417,13,1443,1417,0
,"Cartao de Debito 625, 00 - Cartao de Credito 792, 00",,,,,,,,,
24/05/2024,1 / 65,De 84486 Até 84522,"1341,7",0,0,"1306,7",35,"1376,7","1306,7",0
,"Dinheiro 14, 60 - Cartao de Debito 813, 10 - Cartao de Credito 479, 00",,,,,,,,,
25/05/2024,1 / 65,De 84523 Até 84563,"1600,1",0,0,"1580,7","19,4","1614,5","1580,7",0
,"Cartao de Debito 634, 00 - Cartao de Credito 557, 20 - Pagamento Instantâneo (PIX) 389, 50",,,,,,,,,
27/05/2024,1 / 65,De 84564 Até 84592,781,0,0,773,8,789,773,0
,"Dinheiro 148, 00 - Cartao de Debito 283, 00 - Cartao de Credito 342, 00",,,,,,,,,
