,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
22/07/2024,1 / 65,De 86358 Até 86403,"1053,8",0,0,"1039,8",14,"1067,8","1039,8",0
,"Cartao de Debito 399, 60 - Cartao de Credito 437, 40 - Pagamento Instantâneo (PIX) 202, 80",,,,,,,,,
23/07/2024,1 / 65,De 86404 Até 86441,"1201,5",0,0,"1190,5",11,"1209,5","1190,5",0
,"Cartao de Debito 684, 50 - Cartao de Credito 418, 40 - Pagamento Instantâneo (PIX) 87, 60",,,,,,,,,
24/07/2024,1 / 65,De 86442 Até 86479,"1031,5",0,0,"1020,5",11,"1042,5","1020,5",0
,"Cartao de Debito 607, 50 - Cartao de Credito 192, 00 - Pagamento Instantâneo (PIX) 221, 00",,,,,,,,,
25/07/2024,1 / 65,De 86480 Até 86513,"1041,8",0,0,"1041,8",0,"1040,8","1041,8",0
,"Dinheiro 40, 00 - Cartao de Debito 429, 20 - Cartao de Credito 282, 00 - Pagamento Instantâneo (PIX) 290, 60",,,,,,,,,
26/07/2024,1 / 65,De 86514 Até 86553,1596,0,0,"1556,5","39,5",1634,"1556,5",0
,"Cartao de Debito 659, 30 - Cartao de Credito 723, 20 - Pagamento Instantâneo (PIX) 174, 00",,,,,,,,,
27/07/2024,1 / 65,De 86554 Até 86604,"1540,9",0,0,"1501,9",39,"1577,9","1501,9",0
,"Cartao de Debito 724, 80 - Cartao de Credito 560, 60 - Pagamento Instantâneo (PIX) 216, 50",,,,,,,,,
29/07/2024,1 / 65,De 86605 Até 86653,"1432,5",0,0,"1338,5",94,"1526,5","1338,5",0
,"Cartao de Debito 920, 00 - Cartao de Credito 306, 00 - Pagamento Instantâneo (PIX) 112, 50",,,,,,,,,
30/07/2024,1 / 65,De 86654 Até 86672,750,0,0,742,8,758,742,0
,"Dinheiro 62, 00 - Cartao de Debito 200, 00 - Cartao de Credito 378, 00 - Pagamento Instantâneo (PIX) 102, 00",,,,,,,,,
31/07/2024,1 / 65,De 86673 Até 86702,"875,2",0,0,"873,2",2,"874,2","873,2",0
,"Cartao de Debito 446, 20 - Cartao de Credito 290, 00 - Pagamento Instantâneo (PIX) 137, 00",,,,,,,,,
01/08/2024,1 / 65,De 86703 Até 86743,1257,0,0,1237,20,1277,1237,0
,"Dinheiro 43, 00 - Cartao de Debito 436, 50 - Cartao de Credito 343, 00 - Pagamento Instantâneo (PIX) 414, 50",,,,,,,,,
02/08/2024,1 / 65,De 86744 Até 86788,"1156,9",0,0,"1146,9",10,"1165,9","1146,9",0
,"Cartao de Debito 795, 90 - Cartao de Credito 213, 00 - Pagamento Instantâneo (PIX) 138, 00",,,,,,,,,
03/08/2024,1 / 65,De 86789 Até 86831,"1826,3",0,0,"1812,3",14,"1830,3","1812,3",0
