,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
25/06/2024,1 / 65,De 85463 Até 85490,"1157,5",0,0,"1155,5",2,"1158,5","1155,5",0
,"Cartao de Debito 1058, 50 - Cartao de Credito 97, 00",,,,,,,,,
26/06/2024,1 / 65,De 85491 Até 85520,944,0,0,944,0,942,944,0
,"Cartao de Debito 487, 00 - Cartao de Credito 457, 00",,,,,,,,,
27/06/2024,1 / 65,De 85521 Até 85537,"514,3",0,0,"513,3",1,"515,3","513,3",0
,"Cartao de Debito 368, 50 - Cartao de Credito 144, 80",,,,,,,,,
28/06/2024,1 / 65,De 85538 Até 85572,"808,9",0,0,"808,9",0,"808,9","808,9",0
,"Cartao de Debito 547, 50 - Cartao de Credito 261, 40",,,,,,,,,
29/06/2024,1 / 65,De 85573 Até 85613,"1430,6",0,0,"1389,1","41,5","1464,1","1389,1",0
,"Cartao de Debito 803, 60 - Cartao de Credito 296, 00 - Pagamento Instantâneo (PIX) 289, 50",,,,,,,,,
01/07/2024,1 / 65,De 85614 Até 85640,891,0,0,891,0,891,891,0
,"Dinheiro 45, 00 - Cartao de Debito 444, 00 - Cartao de Credito 312, 00 - Pagamento Instantâneo (PIX) 90, 00",,,,,,,,,
02/07/2024,1 / 65,De 85641 Até 85684,"1280,9",0,0,"1280,9",0,"1280,9","1280,9",0
,"Dinheiro 31, 00 - Cartao de Debito 903, 90 - Cartao de Credito 346, 00",,,,,,,,,
03/07/2024,1 / 65,De 85685 Até 85726,"1243,4",0,0,"1219,4",24,"1263,4","1219,4",0
,"Cartao de Debito 790, 00 - Cartao de Credito 295, 40 - Pagamento Instantâneo (PIX) 134, 00",,,,,,,,,
04/07/2024,1 / 65,De 85727 Até 85772,"1815,5",0,0,"1741,5",74,"1889,5","1741,5",0
,"Cartao de Debito 1013, 00 - Cartao de Credito 393, 50 - Pagamento Instantâneo (PIX) 335, 00",,,,,,,,,
05/07/2024,1 / 65,De 85773 Até 85814,1397,0,0,1261,136,"1513,02",1261,0
,"Dinheiro 89, 00 - Cartao de Debito 758, 50 - Cartao de Credito 303, 00 - Pagamento Instantâneo (PIX) 110, 50",,,,,,,,,
06/07/2024,1 / 65,De 85815 Até 85861,"2517,4",0,0,"2488,4",29,"2529,9","2488,4",0
,"Cartao de Debito 847, 90 - Cartao de Credito 1086, 00 - Pagamento Instantâneo (PIX) 554, 50",,,,,,,,,
08/07/2024,1 / 65,De 85862 Até 85898,"1489,5",0,0,"1404,5",85,"1574,5","1404,5",0
