,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Dinheiro 12, 00 - Cartao de Debito 761, 00 - Cartao de Credito 321, 60",,,,,,,,,
16/04/2024,1 / 65,De 83338 Até 83374,"1358,8",0,0,"1356,8",2,"1348,35","1356,8",0
,"Cartao de Debito 935, 80 - Cartao de Credito 421, 00",,,,,,,,,
17/04/2024,1 / 65,De 83375 Até 83406,"1106,8",0,0,"1096,8",10,"1115,8","1096,8",0
,"Dinheiro 16, 00 - Cartao de Debito 435, 00 - Cartao de Credito 645, 80",,,,,,,,,
18/04/2024,1 / 65,De 83407 Até 83440,"1222,5",0,0,"1213,5",9,"1230,5","1213,5",0
,"Cartao de Debito 836, 50 - Cartao de Credito 377, 00",,,,,,,,,
19/04/2024,1 / 65,De 83441 Até 83477,"1562,3",0,0,"1539,8","22,5","1581,8","1539,8",0
,"Cartao de Debito 792, 00 - Cartao de Credito 747, 80",,,,,,,,,
20/04/2024,1 / 65,De 83478 Até 83530,1600,0,0,1600,0,1599,1600,0
,"Cartao de Debito 706, 00 - Cartao de Credito 894, 00",,,,,,,,,
22/04/2024,1 / 65,De 83531 Até 83574,1214,0,0,1214,0,1213,1214,0
,"Dinheiro 26, 00 - Cartao de Debito 685, 00 - Cartao de Credito 503, 00",,,,,,,,,
24/04/2024,1 / 65,De 83575 Até 83614,1304,0,0,1300,4,1303,1300,0
,"Cartao de Debito 645, 00 - Cartao de Credito 655, 00",,,,,,,,,
25/04/2024,1 / 65,De 83615 Até 83636,"1254,7",0,0,"1249,7",5,"1259,7","1249,7",0
,"Dinheiro 19, 00 - Cartao de Debito 734, 00 - Cartao de Credito 451, 70 - Pagamento Instantâneo (PIX) 45, 00",,,,,,,,,
26/04/2024,1 / 65,De 83637 Até 83674,1176,0,0,1158,18,1194,1158,0
,"Dinheiro 58, 00 - Cartao de Debito 704, 00 - Cartao de Credito 396, 00",,,,,,,,,
27/04/2024,1 / 65,De 83675 Até 83715,"1673,8",0,0,"1659,8",14,"1678,8","1659,8",0
,"Cartao de Debito 974, 40 - Cartao de Credito 280, 10 - Pagamento Instantâneo (PIX) 405, 30",,,,,,,,,
29/04/2024,1 / 65,De 83716 Até 83751,"993,4",0,0,"935,4",58,"1048,4","935,4",0
,"Cartao de Debito 551, 40 - Cartao de Credito 384, 00",,,,,,,,,
