,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
28/05/2024,1 / 65,De 84593 Até 84622,840,0,0,834,6,844,834,0
,"Dinheiro 6, 00 - Cartao de Debito 347, 00 - Cartao de Credito 481, 00",,,,,,,,,
29/05/2024,1 / 65,De 84623 Até 84654,"1124,5",0,0,"1122,5",2,"1126,5","1122,5",0
,"Cartao de Debito 760, 50 - Cartao de Credito 362, 00",,,,,,,,,
31/05/2024,1 / 65,De 84655 Até 84695,"1529,5",0,0,"1523,5",6,"1535,5","1523,5",0
,"Cartao de Debito 745, 00 - Cartao de Credito 778, 50",,,,,,,,,
01/06/2024,1 / 65,De 84696 Até 84738,1674,0,0,1629,45,1705,1629,0
,"Dinheiro 32, 00 - Cartao de Debito 959, 00 - Cartao de Credito 516, 00 - Pagamento Instantâneo (PIX) 122, 00",,,,,,,,,
03/06/2024,1 / 65,De 84739 Até 84776,1104,0,0,1104,0,1104,1104,0
,"Dinheiro 68, 00 - Cartao de Debito 659, 00 - Cartao de Credito 377, 00",,,,,,,,,
04/06/2024,1 / 65,De 84777 Até 84821,"1438,5",0,0,"1325,5",113,"1545,5","1325,5",0
,"Cartao de Debito 1137, 00 - Cartao de Credito 188, 50",,,,,,,,,
05/06/2024,1 / 65,De 84822 Até 84853,"1093,9",0,0,1093,"0,9","1094,8",1093,0
,"Cartao de Debito 524, 00 - Cartao de Credito 569, 00",,,,,,,,,
06/06/2024,1 / 65,De 84854 Até 84886,1328,0,0,1270,58,1386,1270,0
,"Dinheiro 27, 00 - Cartao de Debito 759, 00 - Cartao de Credito 484, 00",,,,,,,,,
07/06/2024,1 / 65,De 84887 Até 84926,"1627,3",0,0,"1617,3",10,"1624,3","1617,3",0
,"Dinheiro 174, 00 - Cartao de Debito 850, 00 - Cartao de Credito 327, 50 - Pagamento Instantâneo (PIX) 265, 80",,,,,,,,,
08/06/2024,1 / 65,De 84927 Até 84979,2288,0,0,"2229,5","58,5","2335,5","2229,5",0
,"Dinheiro 32, 00 - Cartao de Debito 878, 80 - Cartao de Credito 1065, 00 - Pagamento Instantâneo (PIX) 253, 70",,,,,,,,,
10/06/2024,1 / 65,De 84980 Até 85006,"1046,4",0,0,"1026,4",20,"1066,4","1026,4",0
,"Cartao de Debito 576, 00 - Cartao de Credito 317, 00 - Pagamento Instantâneo (PIX) 133, 40",,,,,,,,,
11/06/2024,1 / 65,De 85007 Até 85050,"1526,5",0,0,"1517,5",9,"1533,5","1517,5",0
