,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
05/03/2024,1 / 65,De 82027 Até 82067,1290,0,0,1290,0,1283,1290,0
,"Cartao de Debito 977, 00 - Cartao de Credito 313, 00",,,,,,,,,
06/03/2024,1 / 65,De 82068 Até 82102,"861,55",0,0,"861,15","0,4","860,95","861,15",0
,"Cartao de Debito 321, 15 - Cartao de Credito 501, 00 - Pagamento Instantâneo (PIX) 39, 00",,,,,,,,,
07/03/2024,1 / 65,De 82103 Até 82139,824,0,0,824,0,824,824,0
,"Dinheiro 23, 00 - Cartao de Debito 550, 50 - Cartao de Credito 250, 50",,,,,,,,,
08/03/2024,1 / 65,De 82140 Até 82177,"1125,8",0,0,"1108,8",17,"1138,8","1108,8",0
,"Cartao de Debito 906, 80 - Cartao de Credito 202, 00",,,,,,,,,
09/03/2024,1 / 65,De 82178 Até 82211,"1373,5",0,0,"1373,5",0,"1373,5","1373,5",0
,"Cartao de Debito 947, 30 - Cartao de Credito 426, 20",,,,,,,,,
11/03/2024,1 / 65,De 82212 Até 82250,"1052,5",0,0,"1038,5",14,"1066,5","1038,5",0
,"Cartao de Debito 459, 00 - Cartao de Credito 579, 50",,,,,,,,,
12/03/2024,1 / 65,De 82251 Até 82303,1429,0,0,1387,42,1470,1387,0
,"Cartao de Debito 833, 00 - Cartao de Credito 554, 00",,,,,,,,,
13/03/2024,1 / 65,De 82304 Até 82326,"1302,3",0,0,"1264,3",38,"1340,3","1264,3",0
,"Cartao de Debito 321, 30 - Cartao de Credito 283, 00 - Pagamento Instantâneo (PIX) 660, 00",,,,,,,,,
14/03/2024,1 / 65,De 82327 Até 82351,974,0,0,972,2,976,972,0
,"Dinheiro 59, 00 - Cartao de Debito 475, 00 - Cartao de Credito 438, 00",,,,,,,,,
15/03/2024,1 / 65,De 82352 Até 82386,"1628,3",0,0,"1544,3",84,"1711,7","1544,3",0
,"Dinheiro 290, 80 - Cartao de Debito 626, 50 - Cartao de Credito 627, 00",,,,,,,,,
16/03/2024,1 / 65,De 82387 Até 82434,"1300,8",0,0,"1271,3","29,5","1328,3","1271,3",0
,"Cartao de Debito 988, 10 - Cartao de Credito 213, 60 - Pagamento Instantâneo (PIX) 69, 60",,,,,,,,,
18/03/2024,1 / 65,De 82435 Até 82468,"1322,7",0,0,"1312,7",10,"1321,9","1312,7",0
