,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 580, 00 - Cartao de Credito 138, 30 - Pagamento Instantâneo (PIX) 114, 50",,,,,,,,,
31/08/2024,1 / 65,De 87748 Até 87789,"1357,3",0,0,"1330,3",27,"1382,3","1330,3",0
,"Cartao de Debito 845, 70 - Cartao de Credito 381, 60 - Pagamento Instantâneo (PIX) 103, 00",,,,,,,,,
02/09/2024,1 / 65,De 87790 Até 87825,"1062,9",0,0,"1059,9",3,"1065,9","1059,9",0
,"Cartao de Debito 518, 50 - Cartao de Credito 410, 90 - Pagamento Instantâneo (PIX) 130, 50",,,,,,,,,
03/09/2024,1 / 65,De 87826 Até 87867,"1674,5",0,0,"1620,5",54,"1728,5","1620,5",0
,"Cartao de Debito 722, 00 - Cartao de Credito 577, 50 - Pagamento Instantâneo (PIX) 321, 00",,,,,,,,,
04/09/2024,1 / 65,De 87868 Até 87928,"2408,5",0,0,"2281,5",127,"2535,5","2281,5",0
,"Dinheiro 19, 00 - Cartao de Debito 1091, 50 - Cartao de Credito 900, 00 - Pagamento Instantâneo (PIX) 271, 00",,,,,,,,,
05/09/2024,1 / 65,De 87929 Até 87976,"1301,3",0,0,"1300,3",1,"1302,3","1300,3",0
,"Cartao de Debito 462, 90 - Cartao de Credito 727, 50 - Pagamento Instantâneo (PIX) 109, 90",,,,,,,,,
06/09/2024,1 / 65,De 87977 Até 88009,903,0,0,894,9,910,894,0
,"Cartao de Debito 366, 00 - Cartao de Credito 176, 00 - Pagamento Instantâneo (PIX) 352, 00",,,,,,,,,
09/09/2024,1 / 65,De 88010 Até 88056,"1442,2",0,0,"1406,2",36,"1478,2","1406,2",0
,"Cartao de Debito 582, 70 - Cartao de Credito 654, 00 - Pagamento Instantâneo (PIX) 169, 50",,,,,,,,,
10/09/2024,1 / 65,De 88057 Até 88102,"1207,5",0,0,"1207,5",0,"1207,5","1207,5",0
,"Cartao de Debito 527, 50 - Cartao de Credito 469, 00 - Pagamento Instantâneo (PIX) 211, 00",,,,,,,,,
11/09/2024,1 / 65,De 88103 Até 88149,"1636,9",0,0,"1623,9",13,"1644,9","1623,9",0
,"Cartao de Debito 1045, 00 - Cartao de Credito 299, 90 - Pagamento Instantâneo (PIX) 279, 00",,,,,,,,,
12/09/2024,1 / 65,De 88150 Até 88176,785,0,0,769,16,800,769,0
,"Dinheiro 74, 00 - Cartao de Debito 265, 90 - Cartao de Credito 222, 50 - Pagamento Instantâneo (PIX) 206, 60",,,,,,,,,
13/09/2024,1 / 65,De 88177 Até 88241,"1716,1",0,0,"1661,6","54,5","1770,6","1661,6",0
,"Dinheiro 38, 00 - Cartao de Debito 916, 60 - Cartao de Credito 561, 50 - Pagamento Instantâneo (PIX) 145, 50",,,,,,,,,
