,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
30/04/2024,1 / 65,De 83752 Até 83778,"638,5",0,0,"638,5",0,"633,5","638,5",0
,"Cartao de Debito 372, 50 - Cartao de Credito 266, 00",,,,,,,,,
02/05/2024,1 / 65,De 83779 Até 83809,"1127,8",0,0,"1127,8",0,"1126,8","1127,8",0
,"Cartao de Debito 674, 80 - Cartao de Credito 453, 00",,,,,,,,,
03/05/2024,1 / 65,De 83810 Até 83854,"1476,2",0,0,"1453,2",23,"1497,2","1453,2",0
,"Cartao de Debito 900, 70 - Cartao de Credito 344, 50 - Pagamento Instantâneo (PIX) 208, 00",,,,,,,,,
04/05/2024,1 / 65,De 83855 Até 83906,"1567,4",0,0,"1538,4",29,"1590,4","1538,4",0
,"Cartao de Debito 622, 30 - Cartao de Credito 422, 60 - Pagamento Instantâneo (PIX) 493, 50",,,,,,,,,
06/05/2024,1 / 65,De 83907 Até 83943,1390,0,0,1382,8,1395,1382,0
,"Cartao de Debito 1072, 00 - Cartao de Credito 310, 00",,,,,,,,,
07/05/2024,1 / 65,De 83944 Até 83978,"1226,5",0,0,"1213,5",13,"1237,5","1213,5",0
,"Cartao de Debito 916, 50 - Cartao de Credito 297, 00",,,,,,,,,
08/05/2024,1 / 65,De 83979 Até 84013,"1079,5",0,0,"1078,5",1,"1079,5","1078,5",0
,"Dinheiro 10, 00 - Cartao de Debito 576, 00 - Cartao de Credito 492, 50",,,,,,,,,
09/05/2024,1 / 65,De 84014 Até 84048,1002,0,0,1002,0,1000,1002,0
,"Cartao de Debito 731, 00 - Cartao de Credito 271, 00",,,,,,,,,
10/05/2024,1 / 65,De 84049 Até 84081,"930,2",0,0,"930,2",0,"925,2","930,2",0
,"Cartao de Debito 395, 20 - Cartao de Credito 535, 00",,,,,,,,,
11/05/2024,1 / 65,De 84082 Até 84127,"1344,7",0,0,"1322,7",22,"1345,7","1322,7",0
,"Dinheiro 16, 00 - Cartao de Debito 618, 40 - Cartao de Credito 638, 80 - Pagamento Instantâneo (PIX) 49, 50",,,,,,,,,
13/05/2024,1 / 65,De 84128 Até 84164,1505,0,0,1501,4,1504,1501,0
,"Dinheiro 44, 00 - Cartao de Debito 758, 00 - Cartao de Credito 699, 00",,,,,,,,,
14/05/2024,1 / 65,De 84165 Até 84192,"520,8",0,0,"520,8",0,"520,8","520,8",0
