,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
15/07/2023,1 / 65,De 74479 Até 74535,"1504,2",0,0,"1503,7","0,5","1504,7","1503,7",0
,"Dinheiro 54, 00 - Cartao de Debito 983, 10 - Cartao de Credito 466, 60",,,,,,,,,
17/07/2023,1 / 65,De 74536 Até 74573,"1281,9",0,0,"1225,9",56,"1336,9","1225,9",0
,"Dinheiro 44, 00 - Cartao de Debito 943, 40 - Cartao de Credito 238, 50",,,,,,,,,
18/07/2023,1 / 65,De 74574 Até 74611,"984,5",0,0,981,"3,5",986,981,0
,"Cartao de Debito 488, 40 - Cartao de Credito 492, 60",,,,,,,,,
19/07/2023,1 / 65,De 74612 Até 74662,"1589,5",0,0,"1573,8","15,7","1596,2","1573,8",0
,"Dinheiro 96, 50 - Cartao de Debito 810, 90 - Cartao de Credito 656, 60 - Pagamento Instantâneo (PIX) 9, 80",,,,,,,,,
20/07/2023,1 / 65,De 74663 Até 74712,"1554,65",0,0,"1520,25","34,4","1587,05","1520,25",0
,"Dinheiro 48, 00 - Cartao de Debito 913, 25 - Cartao de Credito 559, 00",,,,,,,,,
21/07/2023,1 / 65,De 74713 Até 74744,1800,0,0,"1764,5","35,5","1827,5","1764,5",0
,"Dinheiro 166, 00 - Cartao de Debito 929, 50 - Cartao de Credito 669, 00",,,,,,,,,
22/07/2023,1 / 65,De 74745 Até 74799,"1486,2",0,0,"1469,3","16,9","1503,1","1469,3",0
,"Cartao de Debito 908, 70 - Cartao de Credito 357, 60 - Pagamento Instantâneo (PIX) 203, 00",,,,,,,,,
24/07/2023,1 / 65,De 74800 Até 74833,"1107,1",0,0,"1079,1",28,"1132,1","1079,1",0
,"Dinheiro 6, 00 - Cartao de Debito 866, 10 - Cartao de Credito 207, 00",,,,,,,,,
25/07/2023,1 / 65,De 74834 Até 74880,1577,0,0,1417,160,"1736,8",1417,0
,"Cartao de Debito 912, 00 - Cartao de Credito 505, 00",,,,,,,,,
26/07/2023,1 / 65,De 74881 Até 74912,"1417,4",0,0,1403,"14,4","1428,8",1403,0
,"Dinheiro 115, 00 - Cartao de Debito 778, 50 - Cartao de Credito 355, 00 - Pagamento Instantâneo (PIX) 154, 50",,,,,,,,,
27/07/2023,1 / 65,De 74913 Até 74954,"1146,3",0,0,"1144,1","2,2","1148,5","1144,1",0
,"Dinheiro 13, 20 - Cartao de Debito 642, 60 - Cartao de Credito 488, 30",,,,,,,,,
28/07/2023,1 / 65,De 74955 Até 74992,"1109,8",0,0,"1083,8",26,"1132,8","1083,8",0
