,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
22/05/2023,1 / 65,De 72537 Até 72583,"1107,1",0,0,"1102,9","4,2","1110,3","1102,9",0
,"Cartao de Debito 771, 50 - Cartao de Credito 237, 40 - Pagamento Instantâneo (PIX) 94, 00",,,,,,,,,
23/05/2023,1 / 65,De 72584 Até 72621,"837,1",0,0,827,"10,1","843,2",827,0
,"Cartao de Debito 495, 50 - Cartao de Credito 331, 50",,,,,,,,,
24/05/2023,1 / 65,De 72622 Até 72666,"1473,5",0,0,1445,"28,5",1494,1445,0
,"Cartao de Debito 1000, 30 - Cartao de Credito 444, 70",,,,,,,,,
25/05/2023,1 / 65,De 72667 Até 72706,"1129,3",0,0,"1122,9","6,4","1131,7","1122,9",0
,"Dinheiro 161, 00 - Cartao de Debito 735, 60 - Cartao de Credito 226, 30",,,,,,,,,
26/05/2023,1 / 65,De 72707 Até 72732,"869,1",0,0,"865,1",4,"868,1","865,1",0
,"Cartao de Debito 240, 20 - Cartao de Credito 624, 90",,,,,,,,,
27/05/2023,1 / 65,De 72733 Até 72784,"984,95",0,0,"979,35","5,6","990,55","979,35",0
,"Cartao de Debito 737, 85 - Cartao de Credito 241, 50",,,,,,,,,
29/05/2023,1 / 65,De 72785 Até 72808,711,0,0,709,2,713,709,0
,"Cartao de Debito 609, 50 - Cartao de Credito 99, 50",,,,,,,,,
30/05/2023,1 / 65,De 72810 Até 72841,"686,7",0,0,"638,7",48,"734,7","638,7",0
,"Cartao de Debito 345, 90 - Cartao de Credito 292, 80",,,,,,,,,
31/05/2023,1 / 65,De 72842 Até 72874,1198,0,0,1181,17,1199,1181,0
,"Dinheiro 7, 00 - Cartao de Debito 1036, 00 - Cartao de Credito 138, 00",,,,,,,,,
01/06/2023,1 / 65,De 72875 Até 72927,1408,0,0,1391,17,"1424,5",1391,0
,"Cartao de Debito 821, 00 - Cartao de Credito 440, 00 - Pagamento Instantâneo (PIX) 130, 00",,,,,,,,,
02/06/2023,1 / 65,De 72928 Até 72956,"1537,1",0,0,"1512,7","24,4","1560,5","1512,7",0
,"Dinheiro 16, 00 - Cartao de Debito 636, 00 - Cartao de Credito 860, 70",,,,,,,,,
03/06/2023,1 / 65,De 72957 Até 73015,"1795,2",0,0,"1770,9","24,3","1819,5","1770,9",0
