,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Dinheiro 28, 50 - Cartao de Debito 1370, 90 - Cartao de Credito 371, 50",,,,,,,,,
05/06/2023,1 / 65,De 73016 Até 73053,"1124,2",0,0,"1123,2",1,"1125,2","1123,2",0
,"Dinheiro 49, 00 - Cartao de Debito 661, 70 - Cartao de Credito 412, 50",,,,,,,,,
06/06/2023,1 / 65,De 73054 Até 73098,"1039,6",0,0,"1018,3","21,3","1055,3","1018,3",0
,"Dinheiro 16, 00 - Cartao de Debito 788, 70 - Cartao de Credito 213, 60",,,,,,,,,
07/06/2023,1 / 65,De 73099 Até 73152,"1468,1",0,0,"1465,7","2,4","1464,5","1465,7",0
,"Dinheiro 9, 00 - Cartao de Debito 790, 70 - Cartao de Credito 666, 00",,,,,,,,,
09/06/2023,1 / 65,De 73153 Até 73181,"973,5",0,0,"968,5",5,"971,5","968,5",0
,"Cartao de Debito 594, 50 - Cartao de Credito 374, 00",,,,,,,,,
10/06/2023,1 / 65,De 73182 Até 73227,"1473,9",0,0,"1473,9",0,"1470,9","1473,9",0
,"Dinheiro 28, 00 - Cartao de Debito 1057, 10 - Cartao de Credito 388, 80",,,,,,,,,
12/06/2023,1 / 65,De 73228 Até 73278,"1096,6",0,0,"1079,8","16,8","1110,8","1079,8",0
,"Cartao de Debito 589, 60 - Cartao de Credito 490, 20",,,,,,,,,
13/06/2023,1 / 65,De 73279 Até 73320,"1828,5",0,0,"1817,5",11,1825,"1817,5",0
,"Dinheiro 34, 40 - Cartao de Debito 1464, 70 - Cartao de Credito 318, 40",,,,,,,,,
14/06/2023,1 / 65,De 73321 Até 73374,"1789,6",0,0,"1751,8","37,8","1790,6","1751,8",0
,"Dinheiro 9, 00 - Cartao de Debito 1371, 80 - Cartao de Credito 371, 00",,,,,,,,,
15/06/2023,1 / 65,De 73375 Até 73417,"1240,4",0,0,1240,"0,4","1240,8",1240,0
,"Dinheiro 6, 50 - Cartao de Debito 661, 00 - Cartao de Credito 572, 50",,,,,,,,,
16/06/2023,1 / 65,De 73418 Até 73454,"918,9",0,0,"904,4","14,5","932,4","904,4",0
,"Dinheiro 88, 50 - Cartao de Debito 515, 10 - Cartao de Credito 300, 80",,,,,,,,,
17/06/2023,1 / 65,De 73455 Até 73503,"1813,4",0,0,"1789,4",24,"1833,4","1789,4",0
,"Cartao de Debito 1278, 40 - Cartao de Credito 511, 00",,,,,,,,,
