,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Dinheiro 58, 00 - Cartao de Debito 802, 20 - Cartao de Credito 329, 50",,,,,,,,,
10/04/2023,1 / 65,De 71212 Até 71239,"1199,9",0,0,"1187,9",12,"1207,9","1187,9",0
,"Dinheiro 137, 00 - Cartao de Debito 611, 40 - Cartao de Credito 301, 50 - Pagamento Instantâneo (PIX) 138, 00",,,,,,,,,
11/04/2023,1 / 65,De 71240 Até 71275,"1178,9",0,0,"1167,9",11,"1176,9","1167,9",0
,"Dinheiro 80, 00 - Cartao de Debito 771, 90 - Cartao de Credito 316, 00",,,,,,,,,
12/04/2023,1 / 65,De 71276 Até 71313,"838,8",0,0,"838,7","0,1","836,9","838,7",0
,"Dinheiro 108, 00 - Cartao de Debito 528, 70 - Cartao de Credito 202, 00",,,,,,,,,
13/04/2023,1 / 65,De 71314 Até 71350,"1068,1",0,0,"1059,1",9,"1071,1","1059,1",0
,"Dinheiro 100, 00 - Cartao de Debito 551, 10 - Cartao de Credito 356, 00 - Pagamento Instantâneo (PIX) 52, 00",,,,,,,,,
14/04/2023,1 / 65,De 71351 Até 71381,"910,5",0,0,906,"4,5","912,8",906,0
,"Dinheiro 17, 00 - Cartao de Debito 647, 00 - Cartao de Credito 242, 00",,,,,,,,,
15/04/2023,1 / 65,De 71382 Até 71426,"1333,8",0,0,"1327,8",6,"1329,2","1327,8",0
,"Dinheiro 55, 00 - Cartao de Debito 692, 90 - Cartao de Credito 579, 90",,,,,,,,,
17/04/2023,1 / 65,De 71427 Até 71453,"746,6",0,0,"675,6",71,"817,6","675,6",0
,"Cartao de Debito 533, 00 - Cartao de Credito 142, 60",,,,,,,,,
18/04/2023,1 / 65,De 71454 Até 71498,"1163,35",0,0,"1138,35",25,"1186,35","1138,35",0
,"Dinheiro 56, 00 - Cartao de Debito 768, 85 - Cartao de Credito 313, 50",,,,,,,,,
19/04/2023,1 / 65,De 71499 Até 71541,"1212,4",0,0,"1211,6","0,8","1210,2","1211,6",0
,"Dinheiro 54, 00 - Cartao de Debito 879, 60 - Cartao de Credito 278, 00",,,,,,,,,
20/04/2023,1 / 65,De 71542 Até 71588,"1482,7",0,0,"1426,7",56,"1538,7","1426,7",0
,"Dinheiro 245, 00 - Cartao de Debito 700, 40 - Cartao de Credito 481, 30",,,,,,,,,
22/04/2023,1 / 65,De 71589 Até 71636,"1256,3",0,0,"1248,4","7,9","1264,2","1248,4",0
,"Dinheiro 32, 00 - Cartao de Debito 784, 40 - Cartao de Credito 432, 00",,,,,,,,,
