,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
05/10/2023,1 / 65,De 77146 Até 77190,"2172,3",0,0,"1935,3",237,"2391,3","1935,3",0
,"Dinheiro 9, 20 - Cartao de Debito 1367, 50 - Cartao de Credito 558, 60",,,,,,,,,
06/10/2023,1 / 65,De 77191 Até 77235,"1339,5",0,0,"1336,5",3,"1342,5","1336,5",0
,"Dinheiro 80, 50 - Cartao de Debito 916, 00 - Cartao de Credito 340, 00",,,,,,,,,
07/10/2023,1 / 65,De 77236 Até 77284,"1848,4",0,0,"1807,3","41,1","1885,5","1807,3",0
,"Dinheiro 23, 00 - Cartao de Debito 1200, 80 - Cartao de Credito 523, 00 - Pagamento Instantâneo (PIX) 60, 50",,,,,,,,,
09/10/2023,1 / 65,De 77285 Até 77319,"1231,8",0,0,"1227,6","4,2",1235,"1227,6",0
,"Cartao de Debito 823, 10 - Cartao de Credito 404, 50",,,,,,,,,
10/10/2023,1 / 65,De 77320 Até 77365,"1303,7",0,0,"1277,7",26,"1329,7","1277,7",0
,"Dinheiro 12, 00 - Cartao de Debito 708, 70 - Cartao de Credito 557, 00",,,,,,,,,
11/10/2023,1 / 65,De 77366 Até 77399,"1121,7",0,0,"1117,7",4,"1027,21","1117,7",0
,"Cartao de Debito 590, 70 - Cartao de Credito 527, 00",,,,,,,,,
13/10/2023,1 / 65,De 77400 Até 77444,1247,0,0,1201,46,1277,1201,0
,"Dinheiro 14, 00 - Cartao de Debito 812, 50 - Cartao de Credito 344, 50 - Pagamento Instantâneo (PIX) 30, 00",,,,,,,,,
14/10/2023,1 / 65,De 77445 Até 77470,"824,5",0,0,"824,5",0,"824,5","824,5",0
,"Cartao de Debito 518, 50 - Cartao de Credito 306, 00",,,,,,,,,
17/10/2023,1 / 65,De 77471 Até 77516,"1234,8",0,0,"1215,8",19,"1243,7","1215,8",0
,"Dinheiro 71, 00 - Cartao de Debito 663, 80 - Cartao de Credito 382, 00 - Pagamento Instantâneo (PIX) 99, 00",,,,,,,,,
18/10/2023,1 / 65,De 77517 Até 77558,"1093,3",0,0,"1083,7","9,6","1101,9","1083,7",0
,"Cartao de Debito 569, 30 - Cartao de Credito 474, 90 - Pagamento Instantâneo (PIX) 39, 50",,,,,,,,,
19/10/2023,1 / 65,De 77559 Até 77604,"2152,6",0,0,"2127,6",25,"2175,6","2127,6",0
,"Dinheiro 35, 00 - Cartao de Debito 1131, 60 - Cartao de Credito 961, 00",,,,,,,,,
20/10/2023,1 / 65,De 77605 Até 77645,"920,7",0,0,"896,7",24,"944,7","896,7",0
