,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 416, 40 - Cartao de Credito 255, 00",,,,,,,,,
13/03/2023,1 / 65,De 70351 Até 70379,"895,6",0,0,"882,6",13,"905,6","882,6",0
,"Cartao de Debito 564, 60 - Cartao de Credito 318, 00",,,,,,,,,
14/03/2023,1 / 65,De 70380 Até 70426,"1081,7",0,0,"1080,7",1,"1073,7","1080,7",0
,"Dinheiro 7, 50 - Cartao de Debito 670, 20 - Cartao de Credito 403, 00",,,,,,,,,
15/03/2023,1 / 65,De 70427 Até 70468,"1169,3",0,0,"1159,6","9,7",1175,"1159,6",0
,"Cartao de Debito 791, 60 - Cartao de Credito 368, 00",,,,,,,,,
16/03/2023,1 / 65,De 70469 Até 70493,"575,9",0,0,"572,9",3,"578,7","572,9",0
,"Cartao de Debito 350, 90 - Cartao de Credito 222, 00",,,,,,,,,
17/03/2023,1 / 65,De 70494 Até 70527,"945,4",0,0,"926,6","18,8","962,2","926,6",0
,"Dinheiro 19, 00 - Cartao de Debito 695, 00 - Cartao de Credito 212, 60",,,,,,,,,
18/03/2023,1 / 65,De 70528 Até 70572,"1632,75",0,0,"1583,95","48,8","1678,75","1583,95",0
,"Cartao de Debito 516, 35 - Cartao de Credito 1067, 60",,,,,,,,,
20/03/2023,1 / 65,De 70573 Até 70611,"1228,3",0,0,"1216,4","11,9","1235,2","1216,4",0
,"Dinheiro 97, 00 - Cartao de Debito 634, 90 - Cartao de Credito 484, 50",,,,,,,,,
21/03/2023,1 / 65,De 70612 Até 70641,"890,1",0,0,"883,6","6,5","896,4","883,6",0
,"Dinheiro 38, 00 - Cartao de Debito 455, 10 - Cartao de Credito 390, 50",,,,,,,,,
22/03/2023,1 / 65,De 70642 Até 70684,"1098,5",0,0,"1096,5",2,"1100,5","1096,5",0
,"Dinheiro 37, 00 - Cartao de Debito 645, 40 - Cartao de Credito 376, 10 - Pagamento Instantâneo (PIX) 38, 00",,,,,,,,,
23/03/2023,1 / 65,De 70685 Até 70719,"883,95",0,0,"881,95",2,"884,95","881,95",0
,"Cartao de Debito 510, 80 - Cartao de Credito 371, 15",,,,,,,,,
24/03/2023,1 / 65,De 70720 Até 70748,"804,1",0,0,"788,1",16,"819,8","788,1",0
,"Dinheiro 3, 80 - Cartao de Debito 559, 90 - Cartao de Credito 224, 40",,,,,,,,,
