,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 637, 00 - Cartao de Credito 549, 30 - Pagamento Instantâneo (PIX) 36, 50",,,,,,,,,
21/11/2023,1 / 65,De 78543 Até 78603,"1521,5",0,0,"1508,7","12,8","1516,3","1508,7",0
,"Cartao de Debito 1009, 70 - Cartao de Credito 499, 00",,,,,,,,,
22/11/2023,1 / 65,De 78604 Até 78641,"1191,2",0,0,"1163,2",28,"1219,2","1163,2",0
,"Cartao de Debito 448, 70 - Cartao de Credito 714, 50",,,,,,,,,
23/11/2023,1 / 65,De 78642 Até 78683,"1390,7",0,0,"1355,7",35,"1410,7","1355,7",0
,"Dinheiro 21, 00 - Cartao de Debito 614, 20 - Cartao de Credito 527, 00 - Pagamento Instantâneo (PIX) 193, 50",,,,,,,,,
24/11/2023,1 / 65,De 78684 Até 78733,"2272,5",0,0,2230,"42,5","2311,5",2230,0
,"Dinheiro 32, 00 - Cartao de Debito 1266, 70 - Cartao de Credito 931, 30",,,,,,,,,
25/11/2023,1 / 65,De 78734 Até 78789,"1987,3",0,0,"1959,8","27,5","2009,8","1959,8",0
,"Dinheiro 272, 00 - Cartao de Debito 1213, 80 - Cartao de Credito 474, 00",,,,,,,,,
27/11/2023,1 / 65,De 78790 Até 78834,"1428,55",0,0,"1427,15","1,4","1429,95","1427,15",0
,"Dinheiro 33, 00 - Cartao de Debito 938, 90 - Cartao de Credito 455, 25",,,,,,,,,
28/11/2023,1 / 65,De 78835 Até 78866,"919,1",0,0,"909,1",10,"925,1","909,1",0
,"Dinheiro 20, 00 - Cartao de Debito 691, 10 - Cartao de Credito 198, 00",,,,,,,,,
29/11/2023,1 / 65,De 78867 Até 78912,"1135,8",0,0,"1128,8",7,"1141,3","1128,8",0
,"Cartao de Debito 802, 00 - Cartao de Credito 326, 80",,,,,,,,,
30/11/2023,1 / 65,De 78913 Até 78948,"809,6",0,0,"799,6",10,"819,6","799,6",0
,"Cartao de Debito 571, 10 - Cartao de Credito 228, 50",,,,,,,,,
01/12/2023,1 / 65,De 78949 Até 78988,"1219,1",0,0,1212,"7,1","1217,2",1212,0
,"Cartao de Debito 825, 00 - Cartao de Credito 289, 00 - Pagamento Instantâneo (PIX) 98, 00",,,,,,,,,
02/12/2023,1 / 65,De 78989 Até 79032,"2213,7",0,0,"2176,2","37,5","2237,2","2176,2",0
,"Dinheiro 54, 50 - Cartao de Debito 1045, 40 - Cartao de Credito 887, 00 - Pagamento Instantâneo (PIX) 189, 30",,,,,,,,,
