,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Dinheiro 65, 00 - Cartao de Debito 570, 30 - Cartao de Credito 448, 50",,,,,,,,,
29/07/2023,1 / 65,De 74993 Até 75029,"1083,3",0,0,"1062,2","21,1","1093,4","1062,2",0
,"Dinheiro 5, 00 - Cartao de Debito 368, 30 - Cartao de Credito 688, 90",,,,,,,,,
31/07/2023,1 / 65,De 75030 Até 75078,"1630,9",0,0,"1609,4","21,5","1646,2","1609,4",0
,"Dinheiro 32, 00 - Cartao de Debito 964, 10 - Cartao de Credito 613, 30",,,,,,,,,
01/08/2023,1 / 65,De 75079 Até 75122,"1624,3",0,0,"1614,3",10,"1634,3","1614,3",0
,"Dinheiro 55, 00 - Cartao de Debito 965, 30 - Cartao de Credito 469, 00 - Pagamento Instantâneo (PIX) 125, 00",,,,,,,,,
02/08/2023,1 / 65,De 75123 Até 75160,1321,0,0,"1307,5","13,5","1334,5","1307,5",0
,"Cartao de Debito 517, 00 - Cartao de Credito 790, 50",,,,,,,,,
03/08/2023,1 / 65,De 75161 Até 75207,"918,1",0,0,"909,1",9,"927,1","909,1",0
,"Dinheiro 7, 50 - Cartao de Debito 542, 50 - Cartao de Credito 359, 10",,,,,,,,,
04/08/2023,1 / 65,De 75208 Até 75243,"1037,6",0,0,"1036,6",1,"1038,6","1036,6",0
,"Cartao de Debito 430, 60 - Cartao de Credito 606, 00",,,,,,,,,
05/08/2023,1 / 65,De 75244 Até 75292,"1279,8",0,0,"1267,7","12,1","1290,9","1267,7",0
,"Dinheiro 3, 40 - Cartao de Debito 928, 80 - Cartao de Credito 306, 50 - Pagamento Instantâneo (PIX) 29, 00",,,,,,,,,
07/08/2023,1 / 65,De 75293 Até 75311,"1018,5",0,0,"1011,5",7,"1018,5","1011,5",0
,"Cartao de Debito 646, 50 - Cartao de Credito 365, 00",,,,,,,,,
08/08/2023,1 / 65,De 75312 Até 75350,"1429,6",0,0,"1337,6",92,"1521,6","1337,6",0
,"Cartao de Debito 969, 50 - Cartao de Credito 368, 10",,,,,,,,,
09/08/2023,1 / 65,De 75351 Até 75396,"2199,9",0,0,"2172,9",27,"2224,9","2172,9",0
,"Cartao de Debito 1541, 40 - Cartao de Credito 631, 50",,,,,,,,,
10/08/2023,1 / 65,De 75397 Até 75435,1056,0,0,"1042,5","13,5","1068,5","1042,5",0
,"Cartao de Debito 797, 50 - Cartao de Credito 245, 00",,,,,,,,,
