,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
02/01/2023,1 / 65,De 68183 Até 68204,655,0,0,652,3,650,652,0
,"Cartao de Debito 433, 50 - Cartao de Credito 218, 50",,,,,,,,,
03/01/2023,1 / 65,De 68205 Até 68251,"1363,05",0,0,"1332,05",31,"1393,05","1332,05",0
,"Dinheiro 30, 00 - Cartao de Debito 844, 80 - Cartao de Credito 457, 25",,,,,,,,,
04/01/2023,1 / 65,De 68252 Até 68295,"1022,2",0,0,"1019,4","2,8",1021,"1019,4",0
,"Dinheiro 39, 00 - Cartao de Debito 725, 00 - Cartao de Credito 255, 40",,,,,,,,,
05/01/2023,1 / 65,De 68296 Até 68337,1260,0,0,"1258,3","1,7","1259,2","1258,3",0
,"Dinheiro 19, 00 - Cartao de Debito 982, 00 - Cartao de Credito 257, 30",,,,,,,,,
06/01/2023,1 / 65,De 68338 Até 68362,"731,4",0,0,"731,4",0,"731,4","731,4",0
,"Dinheiro 38, 40 - Cartao de Debito 633, 00 - Cartao de Credito 60, 00",,,,,,,,,
07/01/2023,1 / 65,De 68363 Até 68416,"1749,7",0,0,"1724,7",25,"1774,1","1724,7",0
,"Dinheiro 72, 00 - Cartao de Debito 1256, 00 - Cartao de Credito 396, 70",,,,,,,,,
09/01/2023,1 / 65,De 68417 Até 68456,"1178,6",0,0,"1176,6",2,"1177,6","1176,6",0
,"Dinheiro 25, 50 - Cartao de Debito 765, 50 - Cartao de Credito 385, 60",,,,,,,,,
10/01/2023,1 / 65,De 68457 Até 68493,"1207,5",0,0,"1194,5",13,"1210,5","1194,5",0
,"Dinheiro 104, 00 - Cartao de Debito 547, 00 - Cartao de Credito 543, 50",,,,,,,,,
11/01/2023,1 / 65,De 68494 Até 68526,"1386,5",0,0,"1385,5",1,"1375,5","1385,5",0
,"Dinheiro 103, 00 - Cartao de Debito 727, 50 - Cartao de Credito 555, 00",,,,,,,,,
12/01/2023,1 / 65,De 68527 Até 68555,"1096,3",0,0,"1091,3",5,"1087,8","1091,3",0
,"Dinheiro 75, 00 - Cartao de Debito 808, 30 - Cartao de Credito 208, 00",,,,,,,,,
13/01/2023,1 / 65,De 68556 Até 68585,"505,2",0,0,"504,8","0,4","505,3","504,8",0
,"Cartao de Debito 413, 80 - Cartao de Credito 91, 00",,,,,,,,,
14/01/2023,1 / 65,De 68586 Até 68650,"1783,4",0,0,"1742,8","40,6",1824,"1742,8",0
