,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
30/01/2023,1 / 65,De 69063 Até 69107,"1158,4",0,0,"1155,4",3,"1160,4","1155,4",0
,"Cartao de Debito 1063, 20 - Cartao de Credito 92, 20",,,,,,,,,
31/01/2023,1 / 65,De 69108 Até 69144,"895,6",0,0,"894,6",1,"892,6","894,6",0
,"Cartao de Debito 691, 10 - Cartao de Credito 203, 50",,,,,,,,,
01/02/2023,1 / 65,De 69145 Até 69182,"860,6",0,0,"856,6",4,"864,6","856,6",0
,"Dinheiro 9, 00 - Cartao de Debito 644, 10 - Cartao de Credito 203, 50",,,,,,,,,
02/02/2023,1 / 65,De 69183 Até 69214,"831,4",0,0,"820,9","10,5","841,9","820,9",0
,"Cartao de Debito 720, 40 - Cartao de Credito 100, 50",,,,,,,,,
03/02/2023,1 / 65,De 69215 Até 69244,"1021,4",0,0,"1004,4",17,"1037,4","1004,4",0
,"Dinheiro 155, 00 - Cartao de Debito 482, 40 - Cartao de Credito 367, 00",,,,,,,,,
04/02/2023,1 / 65,De 69245 Até 69290,"1126,4",0,0,"1060,7","65,7","1189,7","1060,7",0
,"Cartao de Debito 733, 70 - Cartao de Credito 327, 00",,,,,,,,,
06/02/2023,1 / 65,De 69291 Até 69330,"761,3",0,0,"759,3",2,"758,7","759,3",0
,"Cartao de Debito 603, 30 - Cartao de Credito 156, 00",,,,,,,,,
07/02/2023,1 / 65,De 69331 Até 69368,1142,0,0,1142,0,1142,1142,0
,"Dinheiro 73, 00 - Cartao de Debito 507, 50 - Cartao de Credito 561, 50",,,,,,,,,
08/02/2023,1 / 65,De 69369 Até 69414,1019,0,0,1013,6,"1023,5",1013,0
,"Dinheiro 23, 00 - Cartao de Debito 687, 00 - Cartao de Credito 303, 00",,,,,,,,,
09/02/2023,1 / 65,De 69415 Até 69441,"622,5",0,0,"621,5",1,"623,5","621,5",0
,"Dinheiro 32, 00 - Cartao de Debito 488, 50 - Cartao de Credito 101, 00",,,,,,,,,
10/02/2023,1 / 65,De 69442 Até 69464,"1081,5",0,0,"1057,5",24,"1096,5","1057,5",0
,"Dinheiro 73, 00 - Cartao de Debito 807, 50 - Cartao de Credito 177, 00",,,,,,,,,
11/02/2023,1 / 65,De 69465 Até 69507,1251,0,0,1211,40,"1279,5",1211,0
