,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Dinheiro 19, 00 - Cartao de Debito 618, 50 - Cartao de Credito 259, 20",,,,,,,,,
21/10/2023,1 / 65,De 77646 Até 77694,"2032,5",0,0,"1997,1","35,4","2060,9","1997,1",0
,"Dinheiro 295, 00 - Cartao de Debito 991, 60 - Cartao de Credito 710, 50",,,,,,,,,
23/10/2023,1 / 65,De 77695 Até 77734,"1495,5",0,0,"1486,5",9,"1504,5","1486,5",0
,"Dinheiro 176, 00 - Cartao de Debito 1041, 50 - Cartao de Credito 269, 00",,,,,,,,,
24/10/2023,1 / 65,De 77735 Até 77771,"1210,7",0,0,"1203,7",7,"1209,2","1203,7",0
,"Dinheiro 68, 00 - Cartao de Debito 545, 90 - Cartao de Credito 442, 80 - Pagamento Instantâneo (PIX) 147, 00",,,,,,,,,
25/10/2023,1 / 65,De 77772 Até 77802,"799,4",0,0,791,"8,4","804,8",791,0
,"Cartao de Debito 428, 60 - Cartao de Credito 243, 40 - Pagamento Instantâneo (PIX) 119, 00",,,,,,,,,
26/10/2023,1 / 65,De 77803 Até 77845,"1360,9",0,0,"1333,3","27,6","1387,5","1333,3",0
,"Dinheiro 35, 00 - Cartao de Debito 931, 80 - Cartao de Credito 366, 50",,,,,,,,,
27/10/2023,1 / 65,De 77846 Até 77884,"1314,8",0,0,"1310,8",4,"1318,8","1310,8",0
,"Cartao de Debito 832, 80 - Cartao de Credito 478, 00",,,,,,,,,
28/10/2023,1 / 65,De 77885 Até 77923,"1519,5",0,0,"1398,5",121,"1632,5","1398,5",0
,"Dinheiro 10, 00 - Cartao de Debito 691, 50 - Cartao de Credito 697, 00",,,,,,,,,
30/10/2023,1 / 65,De 77924 Até 77955,923,0,0,920,3,924,920,0
,"Dinheiro 104, 00 - Cartao de Debito 613, 00 - Cartao de Credito 203, 00",,,,,,,,,
31/10/2023,1 / 65,De 77956 Até 77992,"1253,2",0,0,"1232,2",21,"1267,2","1232,2",0
,"Cartao de Debito 1059, 20 - Cartao de Credito 173, 00",,,,,,,,,
01/11/2023,1 / 65,De 77993 Até 78020,641,0,0,641,0,641,641,0
,"Cartao de Debito 441, 00 - Cartao de Credito 200, 00",,,,,,,,,
03/11/2023,1 / 65,De 78021 Até 78055,1513,0,0,1507,6,1510,1507,0
,"Cartao de Debito 734, 60 - Cartao de Credito 599, 40 - Pagamento Instantâneo (PIX) 173, 00",,,,,,,,,
